date,team,name,status
1998-02-20, Nuggets, • Bobby Jackson, placed on IR with fractured right ring finger
1998-02-20, Nuggets, • Bryant Stith, activated from IL
1998-02-20, Spurs, • Chuck Person, placed on IL with lower back pain
1998-02-21, 76ers, • Kebu Stewart, activated from IL
1998-02-22, Heat, • Jamal Mashburn, placed on IR with fractured right thumb
1998-02-22, Heat, • Mark Strickland, activated from IL
1998-02-24, Timberwolves, • Tom Gugliotta, placed on IR with ankle surgery to remove bone spurs
1998-02-24, Timberwolves, • Chris Carr, activated from IL
1998-02-25, Cavaliers, • Danny Ferry, placed on IL with right knee inflammation
1998-02-25, Knicks, • Chris Dudley, placed on IL with broken bone in right foot
1998-02-26, 76ers, • Anthony Parker, activated from IL
1998-02-27, Lakers, • Nick Van Exel, placed on IR with surgery on foot (out 3 weeks)
1998-02-27, Lakers, • Shea Seals, activated from IL
1998-02-27, Pistons, • Eric Montross, placed on IR with lateral pain in right knee
1998-02-27, Pistons, • Steve Henson, activated from IL
1998-02-28, Hornets, • Tony Farmer, placed on IL with left knee tendinitis
1998-02-28, Hornets, • Vlade Divac, activated from IL
1998-02-28, Nuggets, • Harold Ellis, activated from IL
1998-03-01, Grizzlies, • Doug West, placed on IL with bruised right hip
1998-03-01, Grizzlies, • Ivano Newbill, activated from IL
1998-03-02, Bullets, • Tim Legler, activated from IL
1998-03-02, Spurs, • Chuck Person, activated from IL
1998-03-03, Clippers, • Lorenzen Wright, placed on IL with sprained left ankle
1998-03-03, Clippers, • James Collins, activated from IL
1998-03-03, Rockets, • Charles Jones, placed on IL with strained lower back
1998-03-03, Rockets, • Emanual Davis, activated from IL
1998-03-04, Cavaliers, • Derek Anderson, activated from IL
1998-03-04, Nuggets, • Priest Lauderdale, placed on IL with left patella tendinitis
1998-03-04, Warriors, • Vernell Coles / Bimbo Coles, placed on IL with bone spurs in right foot
1998-03-05, Blazers, • Vincent Askew, placed on IL with sore back
1998-03-05, Blazers, • Dontonio Wingfield, activated from IL
1998-03-06, Nets, • Rony Seikaly, placed on IL with bone bruise in right foot
1998-03-07, Bullets, • Tim Legler, placed on IR with injured right hamstring
1998-03-07, Bullets, • God Shammgod, activated from IL
1998-03-07, Bulls, • Randy Brown, placed on IR with partially torn left Achilles tendon
1998-03-07, Bulls, • Steve Kerr, activated from IL
1998-03-08, Nets, • Jayson Williams, placed on IL with strained abdominal muscle
1998-03-08, Raptors, • Gary Trent, placed on IL with strained left hip flexor
1998-03-08, Raptors, • Sharone Wright, activated from IL
1998-03-08, Sonics, • Stephen Howard, placed on IR with chronic patella tendinitis in right knee
1998-03-09, 76ers, • Derrick Coleman, placed on IL with sprained left ankle
1998-03-09, 76ers, • Scott Williams, placed on IL with strained right hip flexor
1998-03-10, Bucks, • Glenn Robinson, placed on IL with hyperextended left knee / bone compression in the tibial plateau (P)
1998-03-10, Hawks, • Eldridge Recasner, activated from IL
1998-03-11, Hornets, • Donald Royal, placed on IR with inflammation in left ankle
1998-03-11, Hornets, • Dell Curry, activated from IL
1998-03-12, Heat, • Keith Askins, placed on IR with torn lateral meniscus in left knee
1998-03-12, Heat, • Malcolm Huckaby, activated from IL
1998-03-12, Magic, • Anfernee Hardaway / Penny Hardaway, placed on IL with strained left calf muscle
1998-03-12, Magic, • Mark Price, activated from IL
1998-03-13, Blazers, • Damon Stoudamire, placed on IL with sprained right ankle
1998-03-13, Blazers, • John Crotty, activated from IL
1998-03-13, Celtics, • Pervis Ellison, placed on IL with sprained right ankle
1998-03-13, Celtics, • Zan Tabak, activated from IL
1998-03-13, Clippers, • James Collins, placed on IL with strained lower back
1998-03-13, Clippers, • Lorenzen Wright, activated from IL
1998-03-13, Hawks, • Drew Barry, strained right ankle (DNP)
1998-03-13, Sonics, • David Wingate, placed on IL with strained right hamstring
1998-03-13, Sonics, • Jerome Kersey, activated from IL
1998-03-14, Nuggets, • Priest Lauderdale, activated from IL
1998-03-15, Lakers, • Shea Seals, placed on IL with back spasms
1998-03-15, Lakers, • Nick Van Exel, activated from IL
1998-03-15, Warriors, • Duane Ferrell, activated from IL
1998-03-16, Blazers, • Carlos Rogers, placed on IL with sore right knee
1998-03-16, Heat, • Antonio Lang, placed on IL with left knee tendinitis
1998-03-16, Heat, • Terry Mills, activated from IL
1998-03-16, Nets, • Rony Seikaly, activated from IL
1998-03-16, Nuggets, • Harold Ellis, placed on IL with right knee patella tendinitis
1998-03-16, Nuggets, • Bobby Jackson, activated from IL
1998-03-16, Pacers, • Mark West (a), placed on IR with chronic chondromalacia in left knee
1998-03-16, Timberwolves, • Bill Curley, activated from IL
1998-03-17, Blazers, • Alton Lister, activated from IL
1998-03-17, Bulls, • Luc Longley, placed on IL with sprained left knee
1998-03-17, Bulls, • Randy Brown, activated from IL
1998-03-17, Pacers, • Mark Pope, activated from IL
1998-03-17, Timberwolves, • Chris Carr, placed on IL with sprained left ankle
1998-03-17, Wizards, • Juwan Howard, activated from IL
1998-03-18, 76ers, • Scott Williams, activated from IL
1998-03-18, Jazz, • Greg Ostertag, activated from IL
1998-03-19, Hawks, • Chucky Brown, pulled left groin (DTD)
1998-03-19, Hornets, • Travis Williams, placed on IR with tendinitis in right ankle
1998-03-19, Hornets, • Donald Royal, activated from IL
1998-03-19, Nets, • Don MacLean, placed on IL with tendinitis in both knees
1998-03-19, Nets, • Jayson Williams, activated from IL
1998-03-19, Raptors, • Chris Garner, activated from IL
1998-03-23, 76ers, • Kebu Stewart, placed on IL with left knee patella tendinitis
1998-03-23, 76ers, • Derrick Coleman, activated from IL
1998-03-23, Raptors, • Sharone Wright, placed on IR with aggravated right shoulder injury
1998-03-24, Blazers, • Vincent Askew, activated from IL
1998-03-24, Cavaliers, • Henry James, placed on IR with diabetes mellitus
1998-03-24, Cavaliers, • Danny Ferry, activated from IL
1998-03-24, Hornets, • Tony Farmer, activated from IL
1998-03-25, Celtics, • Bruce Bowen, placed in IR with stress reaction in left foot
1998-03-26, Blazers, • Rick Brunson, placed on IL with bruised right shoulder
1998-03-26, Blazers, • Damon Stoudamire, activated from IL
1998-03-26, Raptors, • Gary Trent, activated from IL
1998-03-27, Grizzlies, • Sam Mack, placed on IR with fractured left ankle
1998-03-27, Heat, • P.J. Brown, placed on IL with sprained left ankle
1998-03-27, Heat, • Antonio Lang, activated from IL
1998-03-27, Sonics, • David Wingate, activated from IL
1998-03-28, Bulls, • Joe Kleine, placed on IL with right knee tendinitis
1998-03-28, Bulls, • Luc Longley, activated from IL
1998-03-29, Clippers, • Eric Piatkowski, placed on IL with strained abdominal muscle
1998-03-29, Clippers, • James Collins, activated from IL
1998-03-29, Raptors, • Roy Rogers, placed on IL with right knee inflammation
1998-03-29, Raptors, • Alvin Williams, activated from IL
1998-03-30, Hawks, • Christian Laettner, sprained right ankle (DTD)
1998-03-30, Spurs, • Chuck Person, placed on IL with lower back pain
1998-04-01, Bucks, • Terrell Brandon, activated from IL
1998-04-02, 76ers, • Brian Shaw, placed on IR with plantar fasciaitis of the right heel and an avulsion fracture of the right heel bone
1998-04-03, 76ers, • Kebu Stewart, activated from IL
1998-04-03, Rockets, • Matt Bullard, placed on IR with strained Achilles tendon
1998-04-03, Rockets, • Rodrick Rhodes, placed on IL with strained left shoulder
1998-04-03, Rockets, • Charles Jones, activated from IL
1998-04-03, Rockets, • Joe Stephens, activated from IL
1998-04-04, Bulls, • Toni Kukoc, placed on IR with inflamed tendon in right foot
1998-04-04, Bulls, • Keith Booth, activated from IL
1998-04-07, Heat, • Antonio Lang, placed on IL with left knee tendinitis
1998-04-07, Heat, • Rex Walters, placed on IL with tendinitis in both knees
1998-04-07, Heat, • Keith Askins, activated from IL
1998-04-07, Heat, • P.J. Brown, activated from IL
1998-04-07, Warriors, • Donyell Marshall, placed on IL with fractured rib
1998-04-09, Bulls, • Luc Longley, placed on IL with bone bruise in left knee
1998-04-09, Bulls, • Joe Kleine, activated from IL
1998-04-09, Suns, • Danny Manning, placed on IL with torn ACL in right knee (out for season)
1998-04-09, Suns, • Horacio Llamas, activated from IL
1998-04-11, Knicks, • Ben Davis, placed on IL with left Achilles tendinitis
1998-04-11, Knicks, • Buck Williams, activated from IL
1998-04-13, Pacers, • Austin Croshere, placed on IR with broken left foot
1998-04-13, Pacers, • Mark West (a), activated from IL
1998-04-14, Nuggets, • Joe Wolf, placed on IR with subluxation of right shoulder
1998-04-14, Nuggets, • Harold Ellis, activated from IL
1998-04-14, Rockets, • Charles Barkley, placed on IL with strained left groin
1998-04-14, Rockets, • Matt Bullard, activated from IL
1998-04-15, Bulls, • Keith Booth, placed on IL with strained lower back
1998-04-15, Bulls, • Toni Kukoc, activated from IL
1998-04-15, Magic, • Johnny Taylor, activated from IL
1998-04-15, Nets, • Jayson Williams, placed on IR with broken right thumb (out for season)
1998-04-15, Spurs, • Willie Burton, placed on IR with acute right patellar tendinitis
1998-04-16, Blazers, • John Crotty, placed on IL with right knee tendinitis
1998-04-16, Blazers, • Rick Brunson, activated from IL
1998-04-16, Magic, • Kevin Edwards, placed on IR with right elbow tendinitis
1998-04-16, Spurs, • Chuck Person, activated from IL
1998-04-17, Heat, • Brent Barry, placed on IL with sprained right ankle
1998-04-17, Heat, • Dan Majerle, placed on IL with strained left groin
1998-04-17, Heat, • Antonio Lang, activated from IL
1998-04-17, Heat, • Rex Walters, activated from IL
1998-04-17, Sonics, • Dale Ellis, placed on IL with strained abdominal muscle
1998-04-17, Sonics, • James Cotton, activated from IL
1998-04-18, Heat, • Tim Hardaway Sr., placed on IL with right knee inflammation
1998-04-18, Heat, • Jamal Mashburn, activated from IL
1998-04-18, Suns, • Rex Chapman, placed on IR with aggravated left hamstring
1998-04-19, Nets, • Michael Cage, placed on IL with strained left hamstring
1998-04-19, Nets, • Don MacLean, activated from IL
1998-04-19, Rockets, • Brent Price, placed on IL with sore left knee
1998-04-19, Rockets, • Rodrick Rhodes, activated from IL
1998-04-20, 76ers, • Brian Shaw, activated from IL
1998-04-20, 76ers, • Doug Overton, activated from IL
1998-04-20, Blazers, • Carlos Rogers, activated from IL
1998-04-20, Blazers, • John Crotty, activated from IL
1998-04-20, Bucks, • Glenn Robinson, activated from IL
1998-04-20, Bullets, • Gheorghe Muresan, activated from IL
1998-04-20, Bullets, • Lorenzo Williams, activated from IL
1998-04-20, Bullets, • Tim Legler, activated from IL
1998-04-20, Bulls, • Keith Booth, activated from IL
1998-04-20, Bulls, • Luc Longley, activated from IL
1998-04-20, Bulls, • Rusty LaRue, activated from IL
1998-04-20, Cavaliers, • Henry James, activated from IL
1998-04-20, Cavaliers, • Mitchell Butler, activated from IL
1998-04-20, Celtics, • Bruce Bowen, activated from IL
1998-04-20, Celtics, • Pervis Ellison, activated from IL
1998-04-20, Celtics, • Ronald Jones / Popeye Jones, activated from IL
1998-04-20, Clippers, • Eric Piatkowski, activated from IL
1998-04-20, Clippers, • Loy Vaught, activated from IL
1998-04-20, Grizzlies, • Doug West, activated from IL
1998-04-20, Grizzlies, • Sam Mack, activated from IL
1998-04-20, Hawks, • Ed Gray, activated from IL
1998-04-20, Heat, • Brent Barry, activated from IL
1998-04-20, Heat, • Dan Majerle, activated from IL
1998-04-20, Heat, • Tim Hardaway Sr., activated from IL
1998-04-20, Hornets, • Travis Williams, activated from IL
1998-04-20, Kings, • Mahmoud Abdul-Rauf / Chris Jackson, activated from IL
1998-04-20, Knicks, • Ben Davis, activated from IL
1998-04-20, Knicks, • Chris Dudley, activated from IL
1998-04-20, Knicks, • Patrick Ewing Sr., activated from IL
1998-04-20, Lakers, • Shea Seals, activated from IL
1998-04-20, Magic, • Anfernee Hardaway / Penny Hardaway, activated from IL
1998-04-20, Magic, • Darrell Armstrong, activated from IL
1998-04-20, Magic, • Kevin Edwards, activated from IL
1998-04-20, Mavericks, • Ace Custis, activated from IL
1998-04-20, Mavericks, • Kurt Thomas, activated from IL
1998-04-20, Mavericks, • Robert Pack, activated from IL
1998-04-20, Nets, • Jayson Williams, activated from IL
1998-04-20, Nets, • Michael Cage, activated from IL
1998-04-20, Nuggets, • Eric Williams, activated from IL
1998-04-20, Nuggets, • Joe Wolf, activated from IL
1998-04-20, Pacers, • Austin Croshere, activated from IL
1998-04-20, Pacers, • Etdrick Bohannon, activated from IL
1998-04-20, Pacers, • Haywoode Workman, activated from IL
1998-04-20, Pistons, • Eric Montross, activated from IL
1998-04-20, Pistons, • Grant Long, activated from IL
1998-04-20, Raptors, • Roy Rogers, activated from IL
1998-04-20, Raptors, • Sharone Wright, activated from IL
1998-04-20, Rockets, • Brent Price, activated from IL
1998-04-20, Rockets, • Charles Barkley, activated from IL
1998-04-20, Rockets, • Serge Zwikker, activated from IL
1998-04-20, Sonics, • Dale Ellis, activated from IL
1998-04-20, Sonics, • Stephen Howard, activated from IL
1998-04-20, Spurs, • Sean Elliott, activated from IL
1998-04-20, Spurs, • Willie Burton, activated from IL
1998-04-20, Timberwolves, • Chris Carr, activated from IL
1998-04-20, Timberwolves, • Paul Grant, activated from IL
1998-04-20, Timberwolves, • Tom Gugliotta, activated from IL
1998-04-20, Warriors, • Donyell Marshall, activated from IL
1998-04-20, Warriors, • Marcus Mann, activated from IL
1998-04-20, Warriors, • Vernell Coles / Bimbo Coles, activated from IL
1999-01-31, Bulls, • Joe Kleine, activated from IL
1999-02-02, Kings, • Chris Robinson, placed on IL
1999-02-02, Kings, • Ray Owes, placed on IL
1999-02-03, 76ers, • Darrin Hancock, placed on IL with bruised left thigh
1999-02-03, Cavaliers, • Ryan Stack, placed on IR with broken finger
1999-02-03, Heat, • Terry Mills, placed on IL with sore left knee
1999-02-03, Heat, • Voshon Lenard, placed on IR with left leg stress fracture (out 2 months)
1999-02-03, Timberwolves, • Trevor Winter, placed on IL with left knee tendinitis
1999-02-03, Wizards, • Evric Gray, placed on IL with concussion
1999-02-03, Wizards, • Lorenzo Williams, placed on IR with stress fractures in both feet
1999-02-04, Blazers, • Art Long, placed on IL with knee injury
1999-02-04, Blazers, • Michael Hawkins, placed on IL
1999-02-04, Blazers, • Nikita Morgunov, placed on IL
1999-02-04, Bucks, • Donny Marshall, placed on IL
1999-02-04, Bulls, • Charles Jones (C.J.), placed on IR with tendinitis in left foot
1999-02-04, Bulls, • Jeff Sanders, placed on IL
1999-02-04, Celtics, • Pervis Ellison, placed on IL
1999-02-04, Clippers, • Brian Skinner, placed on IL with surgery on left knee
1999-02-04, Clippers, • Scott Brooks, placed on IL with strained MCL in knee
1999-02-04, Grizzlies, • Dan Muller, placed on IL
1999-02-04, Grizzlies, • Lee Mayberry, placed on IL
1999-02-04, Grizzlies, • Makhtar Ndiaya, placed on IL with knee injury
1999-02-04, Hawks, • Scot Pollard, placed on IL
1999-02-04, Heat, • Amal McCaskill, placed on IL with back injury
1999-02-04, Hornets, • Anthony Mason Sr., placed on IR with ruptured right biceps tendon (out for season)
1999-02-04, Hornets, • Glen Rice Sr., placed on IR with right elbow surgery (out 6 weeks)
1999-02-04, Magic, • Jonathan Kerner, placed on IL with strained lower back
1999-02-04, Mavericks, • Ansu Sesay, placed on IL with broken right foot (out for season)
1999-02-04, Nuggets, • Kelly McCarty, placed on IL
1999-02-04, Nuggets, • Mark Randall, placed on IL
1999-02-04, Pacers, • Haywoode Workman, placed on IR with pulled groin
1999-02-04, Pacers, • Mike Skelin / Mate Skelin, placed on IR with sprained knee
1999-02-04, Pistons, • Christian Laettner, placed on IL with torn right Achilles tendon
1999-02-04, Pistons, • Korleone Young, placed on IL with back spasms
1999-02-04, Raptors, • Micheal Williams, placed on IL
1999-02-04, Raptors, • Negele Knight, placed on IL with sprained right ankle
1999-02-04, Rockets, • Antoine Carr, placed on IL with surgery on right knee (out 4-6 weeks)
1999-02-04, Rockets, • Rodrick Rhodes, placed on IR with torn right pectoral tendon in chest (out 6-8 weeks)
1999-02-04, Sonics, • Drew Barry, placed on IL
1999-02-04, Suns, • Horacio Llamas, placed on IL with bruised right foot
1999-02-09, 76ers, • Scott Williams, placed on IR with stress fractures in both legs
1999-02-10, Knicks, • Latrell Sprewell, placed on IR with stress fracture in right heel
1999-02-10, Magic, • Derek Strong, placed on IL with bruised right foot
1999-02-13, Hawks, • Scot Pollard, activated from IL
1999-02-13, Sonics, • Billy Owens, placed on IR with broken left pinky finger
1999-02-14, 76ers, • Darrin Hancock, activated from IL
1999-02-14, Heat, • Jamal Mashburn, placed on IR with deep thigh bruise (out 2 weeks)
1999-02-14, Magic, • Derek Strong, activated from IL
1999-02-16, 76ers, • Anthony Parker, placed on IL with broken bone in left foot
1999-02-16, Bulls, • Charles Jones (C.J.), activated from IL
1999-02-16, Nets, • Lucious Harris, placed on IR with bulding disc in lower back
1999-02-16, Raptors, • Negele Knight, activated from IL
1999-02-17, Bucks, • Jerald Honeycutt, placed on IR with left calf strain
1999-02-17, Bucks, • Donny Marshall, activated from IL
1999-02-17, Celtics, • Marlon Garnett, placed on IL with sprained right ankle
1999-02-17, Lakers, • Sam Jacobson, placed on IL with broken left ring finger
1999-02-17, Magic, • Gerald Wilkins, placed on IL with left Achilles tendinitis
1999-02-17, Magic, • Miles Simon, placed on IL with left knee patella tendinitis
1999-02-17, Rockets, • Charles Barkley, placed on IL with surgery on left knee
1999-02-17, Spurs, • Will Perdue, placed on IL with sprained right ankle
1999-02-18, Cavaliers, • Zydrunas Ilgauskas, placed on IR with fractured navicular bone in left foot (out for season)
1999-02-18, Cavaliers, • Ryan Stack, activated from IL
1999-02-18, Jazz, • Thurl Bailey, placed on IR with sprained left quadricep / strained hip flexor (P)
1999-02-18, Magic, • Derek Strong, activated from IL
1999-02-18, Mavericks, • Erick Strickland, placed on IL with strained right groin
1999-02-19, Blazers, • Bonzi Wells, placed on IL with sprained right ankle
1999-02-19, Blazers, • John Crotty, placed on IL with bruised left quadricep
1999-02-19, Blazers, • Nikita Morgunov, placed on IL with sore left knee
1999-02-19, Bullets, • Tim Legler, placed on IL
1999-02-19, Bulls, • Bill Wennington, placed on IL with strained lower back
1999-02-19, Bulls, • Corey Benjamin, placed on IL with abdominal strain
1999-02-19, Celtics, • Walter McCarty, placed on IL with sprained right big toe
1999-02-19, Clippers, • Charles Smith (Cornelius), placed on IL with shin splints
1999-02-19, Clippers, • Stojko Vrankovic, placed on IL with back spasms
1999-02-19, Grizzlies, • J.R. Henderson, placed on IL with right knee tendinitis
1999-02-19, Hornets, • Joe Wolf, placed on IR with subluxation of right elbow
1999-02-19, Kings, • Oliver Miller, placed on IL with back spasms
1999-02-19, Knicks, • Ben Davis, placed on IL with lower back pain
1999-02-19, Lakers, • Tyronn Lue, placed on IL with back spasms
1999-02-19, Nets, • Lucious Harris, placed on IR with bulding disc in back
1999-02-19, Pacers, • Derrick McKey, placed on IR with quadricep tendinitis in right knee
1999-02-19, Pacers, • Mark Pope, placed on IL with left Achilles tendinitis
1999-02-19, Pacers, • Haywoode Workman, activated from IL
1999-02-19, Pistons, • Steve Henson, placed on IL with strained lower back
1999-02-19, Raptors, • Paul Rogers, placed on IR with fractured right ankle
1999-02-19, Raptors, • Sean Marks, placed on IL with strained lower back
1999-02-19, Sonics, • Jelani McCoy, placed on IL with sore back
1999-02-19, Spurs, • Brandon Williams, placed on IR with plantar facitis in right foot
1999-02-19, Suns, • Gerald Brown, placed on IR with chondromalacia patella left knee
1999-02-19, Suns, • Toby Bailey, placed on IL with patellar tendinitis in right knee
1999-02-19, Timberwolves, • Paul Grant, placed on IL with right knee tendinitis
1999-02-19, Timberwolves, • Reggie Jordan, placed on IL with lower back spasms
1999-02-19, Warriors, • Tyrone Bogues / Muggsy Bogues, placed on IR with chicken pox
1999-02-22, Hawks, • Steve Smith (Delano), placed on IL with a sprained right knee
1999-02-23, Nets, • Rony Seikaly, placed on IL with sore left foot / plantar fasciatis in right foot (P)
1999-02-24, Lakers, • Ruben Patterson, placed on IL with right knee tendinitis
1999-02-25, Mavericks, • Erick Strickland, activated from IL
1999-02-25, Nuggets, • Raef LaFrentz, placed on IL with torn ACL in left knee (out for season)
1999-02-25, Rockets, • Stanley Roberts, placed on IL with strained right hamstring
1999-02-25, Rockets, • Antoine Carr, activated from IL
1999-02-26, Magic, • Miles Simon, activated from IL
1999-02-26, Mavericks, • Cedric Ceballos, placed on IL with fractured right wrist
1999-02-27, Bulls, • Cory Carr, placed on IL with strained lower back
1999-02-27, Bulls, • Keith Booth, placed on IL with strained left quadricep
1999-02-27, Bulls, • Bill Wennington, activated from IL
1999-02-27, Bulls, • Corey Benjamin, activated from IL
1999-02-27, Clippers, • Jerome Richardson / Pooh Richardson, placed on IL with sprained left ankle
1999-02-27, Clippers, • Michael Olowokandi, placed on IL with sprained left ankle
1999-02-27, Clippers, • Brian Skinner, activated from IL
1999-02-27, Clippers, • Stojko Vrankovic, activated from IL
1999-02-28, Bucks, • Jerald Honeycutt, activated from IL
1999-02-28, Grizzlies, • Lee Mayberry, activated from IL
1999-02-28, Rockets, • Eddie Johnson (Arnet), placed on IL with back spasms / strained lower back
1999-02-28, Rockets, • Charles Barkley, activated from IL
1999-03-01, Celtics, • Dwayne Schintzius, placed on IL with sore right knee
1999-03-01, Celtics, • Walter McCarty, activated from IL
1999-03-01, Sonics, • James Cotton, placed on IR with strained tendon in right leg
1999-03-01, Sonics, • Billy Owens, activated from IL
1999-03-02, Clippers, • Stojko Vrankovic, placed on IL with lower back spasms
1999-03-02, Clippers, • Charles Smith (Cornelius), activated from IL
1999-03-02, Jazz, • Thurl Bailey, activated from IL
1999-03-02, Rockets, • Antoine Carr, placed on IL with sprained right knee
1999-03-02, Rockets, • Rodrick Rhodes, activated from IL
1999-03-02, Spurs, • Gerard King, placed on IR with cervical spasms
1999-03-02, Spurs, • Will Perdue, activated from IL
1999-03-02, Suns, • Marko Milic, placed on IL with right knee tendinitis
1999-03-02, Suns, • Gerald Brown, activated from IL
1999-03-02, Suns, • Toby Bailey, activated from IL
1999-03-03, Blazers, • Carlos Rogers, placed on IL with right knee tendinitis / bruised left quadriceps
1999-03-03, Blazers, • John Crotty, activated from IL
1999-03-04, Hawks, • Steve Smith (Delano), activated from IL
1999-03-04, Sonics, • Martyn Norris / Moochie Norris, placed on IL with insomnia
1999-03-04, Sonics, • Drew Barry, activated from IL
1999-03-05, Knicks, • David Wingate, placed on IL with right knee patellar tendinitis
1999-03-05, Knicks, • Latrell Sprewell, activated from IL
1999-03-05, Magic, • Danny Schayes, placed on IL with strained left calf
1999-03-05, Magic, • Jonathan Kerner, activated from IL
1999-03-08, Bulls, • Charles Jones (C.J.), placed on IL with strained right calf
1999-03-08, Magic, • Miles Simon, placed on IL with left knee patella tendinitis
1999-03-08, Nets, • Lucious Harris, activated from IL
1999-03-08, Warriors, • Duane Ferrell, placed on IL with left knee tendinitis
1999-03-09, Bulls, • Rusty LaRue, placed on IL with sprained left ankle
1999-03-09, Bulls, • Cory Carr, activated from IL
1999-03-09, Bulls, • Keith Booth, activated from IL
1999-03-09, Warriors, • Tyrone Bogues / Muggsy Bogues, activated from IL
1999-03-10, Clippers, • Brian Skinner, placed on IL with strained left knee
1999-03-10, Clippers, • Sherman Douglas, placed on IL with strained groin
1999-03-10, Clippers, • Jerome Richardson / Pooh Richardson, activated from IL
1999-03-10, Clippers, • Michael Olowokandi, activated from IL
1999-03-10, Lakers, • Ruben Patterson, activated from IL
1999-03-10, Pistons, • Korleone Young, activated from IL
1999-03-11, 76ers, • Casey Shaw, placed on IL
1999-03-11, Grizzlies, • Tony Massenburg, placed on IL with sprained left wrist
1999-03-11, Grizzlies, • J.R. Henderson, activated from IL
1999-03-11, Raptors, • Negele Knight, placed on IL with strained lower back
1999-03-11, Raptors, • Micheal Williams, activated from IL
1999-03-11, Timberwolves, • Reggie Jordan, activated from IL
1999-03-12, Blazers, • John Crotty, placed on IL with bruised left quadricep
1999-03-12, Blazers, • Bonzi Wells, activated from IL
1999-03-12, Nets, • Eric Murdock, placed on IR with cartilage damage in left knee
1999-03-12, Timberwolves, • Malik Sealy, placed on IL with sprained left ankle
1999-03-13, Hawks, • LaPhonso Ellis, placed on IL with back spasms
1999-03-13, Hornets, • Glen Rice Sr., activated from IL
1999-03-13, Knicks, • David Wingate, activated from IL
1999-03-14, Bullets, • Tim Legler, activated from IL
1999-03-14, Mavericks, • Robert Pack, placed on IR with partially torn right hamstring
1999-03-14, Pistons, • Charles O'Bannon, placed on IL with right knee tendinitis
1999-03-14, Wizards, • Jahidi White, placed on IL with sprained right knee
1999-03-15, Magic, • Jonathan Kerner, placed on IL with strained lower back
1999-03-15, Magic, • Danny Schayes, activated from IL
1999-03-16, Nets, • Rony Seikaly, activated from IL
1999-03-16, Pistons, • Korleone Young, placed on IL with back spasms
1999-03-16, Raptors, • Micheal Williams, placed on IR with sore right foot
1999-03-16, Raptors, • Sean Marks, activated from IL
1999-03-16, Timberwolves, • Anthony Peeler, placed on IL with strained left calf
1999-03-16, Timberwolves, • Trevor Winter, activated from IL
1999-03-17, Pistons, • Christian Laettner, activated from IL
1999-03-17, Timberwolves, • Trevor Winter, placed on IL with strained lower back
1999-03-18, Bulls, • Andrew Lang, placed on IL with sprained MCL in left knee
1999-03-18, Bulls, • Corey Benjamin, placed on IR with tonsillitis
1999-03-18, Bulls, • Charles Jones (C.J.), activated from IL
1999-03-18, Bulls, • Rusty LaRue, activated from IL
1999-03-18, Clippers, • Sherman Douglas, activated from IL
1999-03-18, Wizards, • Randell Jackson, placed on IL with left patella tendinitis
1999-03-19, Clippers, • Jerome Richardson / Pooh Richardson, placed on IL with sprained left ankle
1999-03-19, Clippers, • Brian Skinner, activated from IL
1999-03-20, Celtics, • Ronald Jones / Popeye Jones, placed on IL with sore left knee
1999-03-20, Celtics, • Marlon Garnett, activated from IL
1999-03-20, Grizzlies, • Lee Mayberry, placed on IL with tendinitis in both knees
1999-03-20, Grizzlies, • Tony Massenburg, activated from IL
1999-03-21, Magic, • Charles Outlaw / Bo Outlaw, placed on IL with fractured left fibula
1999-03-21, Magic, • Gerald Wilkins, activated from IL
1999-03-22, 76ers, • Scott Williams, activated from IL
1999-03-22, Bucks, • Sam Cassell, placed on IL with sprained right ankle
1999-03-22, Celtics, • Eric Riley, placed on IL with plantar fasciatis in left foot
1999-03-22, Celtics, • Dwayne Schintzius, activated from IL
1999-03-22, Nets, • Jim McIlvaine, placed on IR with torn cartilage in left shoulder
1999-03-22, Pistons, • Joe Dumars, placed on IL with strained left calf
1999-03-22, Pistons, • Charles O'Bannon, activated from IL
1999-03-22, Rockets, • Matt Maloney, placed on IR with sore right elbow
1999-03-22, Rockets, • Antoine Carr, activated from IL
1999-03-23, Blazers, • John Crotty, activated from IL
1999-03-23, Cavaliers, • Ryan Stack, placed on IL with back spasms
1999-03-23, Clippers, • Sherman Douglas, placed on IL with strained left quadriceps
1999-03-23, Grizzlies, • Doug West, placed on IL with broken toe on right foot
1999-03-23, Heat, • Marty Conlon, placed on IR with lacerated right pinky finger
1999-03-23, Heat, • Terry Mills, activated from IL
1999-03-23, Magic, • Gerald Wilkins, placed on IR with strained calf
1999-03-23, Magic, • Miles Simon, activated from IL
1999-03-23, Nets, • Scott Burrell, placed on IL with sprained right ankle
1999-03-23, Sonics, • Vin Baker, placed on IR with partially torn ligament in right thumb
1999-03-25, Bulls, • Ron Harper, placed on IR with dislocated right finger & hyperextended right knee
1999-03-25, Bulls, • Corey Benjamin, activated from IL
1999-03-26, Grizzlies, • Bryant Reeves, placed on IL with right knee injury
1999-03-26, Grizzlies, • Makhtar Ndiaya, activated from IL
1999-03-26, Sonics, • Don MacLean, placed on IL with lower back pain
1999-03-26, Sonics, • Jelani McCoy, activated from IL
1999-03-27, 76ers, • Rick Mahorn, placed on IL with plantar fasciatis in right foot
1999-03-28, Suns, • Rex Chapman, placed on IL with turf toe in left foot
